firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
AFH-Wealth-Management,2015-04-05, ,Current Employee,,2,4.0,3.0,,2.0,3.0,3.0,x,o,r,"Young colleagues, poor micro management",Very friendly and welcoming to new staff. Easy going ethic.,"Poor salaries, poor training and communication."
AFH-Wealth-Management,2015-12-11, Office Administrator,"Current Employee, more than 1 year","Bromsgrove, England, England",2,3.0,1.0,,2.0,1.0,4.0,x,o,r,"Excellent staff, poor salary","Friendly, helpful and hard-working colleagues","Poor salary which doesn't improve much with progression, no incentive to work harder, high turnover of staff, poor systems"
AFH-Wealth-Management,2016-01-28, Office Administrator,"Current Employee, less than 1 year","Bromsgrove, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,o,x,"Low salary, bad micromanagement",Easy to get the job even without experience in finance,"Very low salary, poor working conditions, very little training provided but high expectations. Micro management are young, inexperienced and superficial girls who are not able to provide guidance and support for their teams."
AFH-Wealth-Management,2016-04-16, ,Current Employee,,5,2.0,3.0,,2.0,2.0,3.0,x,o,r,Over promised under delivered,Nice staff to work with,No career progression and salary is poor
AFH-Wealth-Management,2016-04-23, Office Administrator,"Current Employee, more than 1 year","Bromsgrove, England, England",1,2.0,1.0,,2.0,1.0,1.0,x,o,x,client reporting admin,"Easy to get the job, Nice colleagues.","Abysmal pay, around minimum wage. No actual training for your job role. No incentive to improve. training. Leaves a bad taste in the mouth when the CEO drives a roll royce and the majority of the workers are payed so lowly"
AFH-Wealth-Management,2016-05-26, Office Administrator,"Current Employee, less than 1 year",,3,4.0,2.0,,2.0,3.0,2.0,o,r,r,Office administrator,"Some good people to work with.

Flexible working.

Out of hours language classes and aerobics.

Financial support for exams.","Morale.

Lack of managerial structure.

Doesn't seem to support career progression.

No formal training."
AFH-Wealth-Management,2016-09-23, IFA,Former Employee,"Bromsgrove, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,o,r,It horrible management,Good investment management strategy. Overall there are individual admin staff that are very nice and helpful,"The management and seniors are ruthless. No training for staff. Staff are poorly paid and virtually no retention. The consultants have no communication and despite being a ""national"" firm they can't seem to understand anything beyond Bromsgrove."
AFH-Wealth-Management,2016-09-25, Anonymous Employee,"Current Employee, more than 5 years","Century City, CA",5,5.0,5.0,,5.0,4.0,5.0,v,o,v,Good place to work,The people are great and the culture is very forward thinking. Lots of development opportunities and really invest in educating their employees.,"Wouldn't necessarily say there are any cons to working here, though this website does contain negative reviews. I would say if you are committed and show your loyalty to the company, they will look after you."
AFH-Wealth-Management,2016-11-03, Anonymous Employee,"Former Employee, more than 1 year",,4,4.0,4.0,,4.0,4.0,4.0,v,o,v,I liked working for AFH,"Nice Staff, good HR Team.
Feels vibrant and forward thinking. 
Flexible hours (worked for me). 
Good place to start your career.",Can't really think of any obvious cons
AFH-Wealth-Management,2017-02-21, Technician,"Former Employee, more than 3 years","Santa Ana, CA",1,1.0,1.0,,1.0,3.0,1.0,x,x,x,Honest Review,Made some life time friends.,Was let go from the company just before Christmas. Advised the role was not cost effective after having to deal with the worst management in my 20 year career.
